word,prob,result
alex,0.0,0.0
alexander,0.30646809935569763,0.0
alien,0.0,0.0
alike,0.0,0.0
alito,0.0,0.0
alive,0.0,0.0
all,0.9708890914916992,1.0
allbut,0.30646809935569763,0.0
allegations,0.0,0.0
alleged,0.0,0.0
allen,0.0,0.0
alleviated,0.0,0.0
alliance,0.0,0.0
allies,0.30646809935569763,0.0
allocation,0.0,0.0
allotted,0.30646809935569763,0.0
allow,0.8535550832748413,1.0
allowance,0.4001779556274414,0.0
allowed,0.7218967080116272,1.0
allowing,0.30646809935569763,0.0
allows,0.8457008600234985,1.0
almost,0.30646809935569763,0.0
alone,0.5815575122833252,1.0
along,0.5815575122833252,1.0
alongside,0.0,0.0
already,0.647059440612793,1.0
also,0.9538862705230713,1.0
alter,0.0,0.0
alteration,0.0,0.0
altered,0.30738216638565063,0.0
alternative,0.0,0.0
alternatives,0.0,0.0
although,0.7845845222473145,1.0
alvarez,0.0,0.0
always,0.8930437564849854,1.0
am,0.0,0.0
amateur,0.0,0.0
amazing,0.0,0.0
amazoncom,0.0,0.0
ambiguous,0.0,0.0
ambition,0.0,0.0
ambitions,0.0,0.0
amendment,0.308594673871994,0.0
america,0.7215813994407654,1.0
american,0.723938524723053,1.0
americans,0.30646809935569763,0.0
amiable,0.0,0.0
among,0.8517054319381714,1.0
amount,0.30646809935569763,0.0
amounts,0.0,0.0
amusing,0.0,0.0
an,0.9715774059295654,1.0
analyses,0.0,0.0
analysis,0.6471378207206726,1.0
analytically,0.0,0.0
analyze,0.30646809935569763,0.0
analyzed,0.0,0.0
anatomy,0.0,0.0
ancestors,0.0,0.0
ancestorsnumbering,0.0,0.0
ancestral,0.30646809935569763,0.0
ancestry,0.0,0.0
ancient,0.722142219543457,1.0
and,0.9715375304222107,1.0
andorra,0.30646809935569763,0.0
andy,0.30646809935569763,0.0
anecdotal,0.0,0.0
angelina,0.0,0.0
animal,0.0,0.0
animals,0.0,0.0
aniston,0.0,0.0
annals,0.30646809935569763,0.0
annette,0.0,0.0
announced,0.0,0.0
announcement,0.0,0.0
annoyed,0.30646809935569763,0.0
annual,0.33848288655281067,0.0
another,0.9368682503700256,1.0
anshwer,0.0,0.0
answer,0.9715614318847656,1.0
answering,0.30646809935569763,0.0
answers,0.9441463947296143,1.0
anthony,0.0,0.0
anthropologist,0.30646809935569763,0.0
anthropologists,0.0,0.0
anthropology,0.0,0.0
antibribery,0.30646809935569763,0.0
anticipate,0.30646809935569763,0.0
anticipation,0.30646809935569763,0.0
antipatent,0.0,0.0
antique,0.0,0.0
antismoking,0.0,0.0
antithetical,0.0,0.0
antonin,0.0,0.0
anxiety,0.0,0.0
anxious,0.3934558928012848,0.0
any,0.9366257190704346,1.0
anyone,0.0,0.0
anything,0.30646809935569763,0.0
anytime,0.0,0.0
anyway,0.0,0.0
anywayperetti,0.30646809935569763,0.0
anywhere,0.5815575122833252,1.0
apart,0.30646809935569763,0.0
apartment,0.30646809935569763,0.0
apparent,0.6720263361930847,1.0
apparently,0.0,0.0
appeal,0.0,0.0
appeals,0.0,0.0
appear,0.30646809935569763,0.0
appeared,0.3511320650577545,0.0
appearing,0.0,0.0
appears,0.0,0.0
appetites,0.0,0.0
apple,0.0,0.0
applicable,0.0,0.0
applicant,0.0,0.0
applicants,0.0,0.0
application,0.5815575122833252,1.0
applications,0.30646809935569763,0.0
applied,0.0,0.0
applies,0.30646809935569763,0.0
apply,0.0,0.0
applying,0.0,0.0
appointed,0.30646809935569763,0.0
appointment,0.0,0.0
appreciated,0.0,0.0
appreciation,0.5815575122833252,1.0
appreciative,0.30646809935569763,0.0
apprehension,0.0,0.0
approach,0.7830138206481934,1.0
approachable,0.30646809935569763,0.0
approached,0.30646809935569763,0.0
appropriate,0.0,0.0
approval,0.8910825848579407,1.0
approve,0.0,0.0
approved,0.0,0.0
approving,0.0,0.0
approximately,0.0,0.0
april,0.0,0.0
arabic,0.30646809935569763,0.0
arbiters,0.30646809935569763,0.0
arc,0.0,0.0
archaeological,0.6469805836677551,1.0
archaeologist,0.32420408725738525,0.0
archaeologists,0.4002399146556854,0.0
architecture,0.0,0.0
archives,0.0,0.0
are,0.9714957475662231,1.0
area,0.30646809935569763,0.0
areas,0.8549373149871826,1.0
argue,0.30646809935569763,0.0
argued,0.30646809935569763,0.0
argues,0.30646809935569763,0.0
argument,0.39895278215408325,0.0
arguments,0.30646809935569763,0.0
arise,0.0,0.0
aristocratic,0.39993444085121155,0.0
aristocrats,0.30646809935569763,0.0
aristotle,0.0,0.0
arizona,0.0,0.0
armed,0.0,0.0
arms,0.0,0.0
army,0.0,0.0
arose,0.0,0.0
around,0.9674433469772339,1.0
aroused,0.0,0.0
arousing,0.0,0.0
arrange,0.30646809935569763,0.0
arranged,0.0,0.0
arrangement,0.30646809935569763,0.0
arranging,0.38967984914779663,0.0
array,0.0,0.0
arrest,0.39987853169441223,0.0
arrestee,0.30646809935569763,0.0
arrive,0.30646809935569763,0.0
arrived,0.30646809935569763,0.0
arrogant,0.0,0.0
art,0.0,0.0
arthur,0.0,0.0
article,0.5815575122833252,1.0
articles,0.0,0.0
articulate,0.30646809935569763,0.0
artifacts,0.30646809935569763,0.0
artificial,0.0,0.0
artist,0.4004271924495697,0.0
artistic,0.0,0.0
artloving,0.0,0.0
arts,0.30646809935569763,0.0
as,0.9714885950088501,1.0
ascribe,0.30646809935569763,0.0
asia,0.30646809935569763,0.0
aside,0.5815575122833252,1.0
ask,0.5815575122833252,1.0
asked,0.8533512949943542,1.0
asking,0.30646809935569763,0.0
asks,0.0,0.0
aspect,0.0,0.0
aspects,0.0,0.0
aspirations,0.0,0.0
aspiring,0.0,0.0
assemble,0.0,0.0
assert,0.0,0.0
asserted,0.0,0.0
asserting,0.0,0.0
assertion,0.0,0.0
assess,0.8273875713348389,1.0
assessing,0.0,0.0
assessment,0.30646809935569763,0.0
assessments,0.0,0.0
asset,0.0,0.0
assets,0.0,0.0
assigned,0.0,0.0
assimilation,0.30646809935569763,0.0
assistant,0.0,0.0
associated,0.5815575122833252,1.0
association,0.8527532815933228,1.0
associationit,0.0,0.0
associations,0.6463276743888855,1.0
assume,0.0,0.0
assumes,0.30646809935569763,0.0
assumption,0.6468826532363892,1.0
assurance,0.0,0.0
asteroid,0.0,0.0
astonishing,0.30646809935569763,0.0
astronomers,0.30646809935569763,0.0
astronomical,0.30646809935569763,0.0
astronomy,0.4005649983882904,0.0
at,0.9716147780418396,1.0
atall,0.0,0.0
ate,0.30646809935569763,0.0
atemporary,0.0,0.0
athens,0.3068007528781891,0.0
atlantic,0.30646809935569763,0.0
atmosphere,0.30646809935569763,0.0
attached,0.0,0.0
attachment,0.30646809935569763,0.0
attack,0.30646809935569763,0.0
attaining,0.0,0.0
attempt,0.0,0.0
attempted,0.30646809935569763,0.0
attempts,0.0,0.0
attend,0.30646809935569763,0.0
attended,0.0,0.0
attention,0.8069449663162231,1.0
attitude,0.9029054641723633,1.0
attitudes,0.0,0.0
attorney,0.0,0.0
attract,0.30646809935569763,0.0
attracted,0.30646809935569763,0.0
attraction,0.30646809935569763,0.0
attractions,0.30646809935569763,0.0
attractive,0.0,0.0
attribute,0.30646809935569763,0.0
attributed,0.0,0.0
auckland,0.0,0.0
audience,0.0,0.0
audiences,0.30646809935569763,0.0
augmented,0.0,0.0
august,0.0,0.0
australia,0.30646809935569763,0.0
australian,0.30646809935569763,0.0
author,0.9715397357940674,1.0
authorities,0.6343874931335449,1.0
authority,0.0,0.0
authorization,0.0,0.0
authorized,0.5815575122833252,1.0
authors,0.0,0.0
authorsing,0.30646809935569763,0.0
autobiography,0.0,0.0
automobile,0.5815575122833252,1.0
automotiveassembly,0.0,0.0
autopilot,0.0,0.0
availability,0.30646809935569763,0.0
available,0.0,0.0
average,0.5815575122833252,1.0
avery,0.0,0.0
avoid,0.9029918909072876,1.0
avoided,0.30646809935569763,0.0
avoiding,0.0,0.0
avon,0.0,0.0
await,0.30646809935569763,0.0
awaken,0.30646809935569763,0.0
award,0.30646809935569763,0.0
awarded,0.0,0.0
awards,0.4008030891418457,0.0
aware,0.30646809935569763,0.0
awareness,0.30646809935569763,0.0
away,0.6465798616409302,1.0
awkward,0.0,0.0
azentgyorgyi,0.0,0.0
aztec,0.30646809935569763,0.0
b,0.9716414213180542,1.0
babies,0.30646809935569763,0.0
baby,0.0,0.0
babycenter,0.0,0.0
babysize,0.0,0.0
bachelor,0.30646809935569763,0.0
back,0.9281184673309326,1.0
backdrop,0.30646809935569763,0.0
backed,0.30646809935569763,0.0
background,0.7143782377243042,1.0
backgrounds,0.30646809935569763,0.0
backloaded,0.0,0.0
backward,0.0,0.0
backyard,0.30646809935569763,0.0
bacterial,0.0,0.0
bad,0.0,0.0
bags,0.30646809935569763,0.0
baier,0.0,0.0
balance,0.30646809935569763,0.0
baldassare,0.0,0.0
ban,0.6468974947929382,1.0
band,0.30646809935569763,0.0
bank,0.30646809935569763,0.0
bankers,0.30646809935569763,0.0
banking,0.0,0.0
banks,0.0,0.0
bans,0.5815575122833252,1.0
bar,0.4007927179336548,0.0
barber,0.30646809935569763,0.0
barely,0.30646809935569763,0.0
bargain,0.0,0.0
bargaining,0.0,0.0
bargains,0.0,0.0
barrier,0.0,0.0
based,0.9622442722320557,1.0
basic,0.7856911420822144,1.0
basis,0.6468716263771057,1.0
basketball,0.0,0.0
battles,0.0,0.0
bay,0.0,0.0
bc,0.30646809935569763,0.0
be,0.9716377854347229,1.0
bear,0.30646809935569763,0.0
bears,0.0,0.0
beat,0.0,0.0
beaumont,0.0,0.0
beautiful,0.30646809935569763,0.0
beautifully,0.0,0.0
beautify,0.0,0.0
beauty,0.4004136621952057,0.0
beavers,0.0,0.0
became,0.30646809935569763,0.0
because,0.856834888458252,1.0
become,0.8558797836303711,1.0
becomebut,0.30646809935569763,0.0
becomes,0.30646809935569763,0.0
becoming,0.30646809935569763,0.0
bed,0.30646809935569763,0.0
bedrock,0.0,0.0
been,0.9716408252716064,1.0
beethoven,0.3325820863246918,0.0
before,0.6467994451522827,1.0
